Country Name,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Belize,"$2,193,050,000.00","$2,240,200,000.00","$2,266,300,000.00","$2,293,250,000.00","$2,388,300,000.00","$2,042,850,000.00","$2,420,550,000.00","$2,846,700,000.00","$3,066,850,000.00","$3,515,783,328.91"
Bermuda,"$6,654,541,000.00","$6,899,911,000.00","$7,142,316,000.00","$7,225,977,000.00","$7,423,465,000.00","$6,887,364,000.00","$7,290,037,000.00","$7,874,381,000.00","$8,579,242,000.00","$8,980,200,000.00"
Bolivia,"$33,000,198,248.91","$33,941,126,193.92","$37,508,642,170.77","$40,287,647,930.54","$40,895,322,850.94","$36,629,843,806.08","$40,406,111,693.20","$44,008,282,879.88","$45,135,398,002.89","$49,668,296,743.85"
Brazil,"$1,802,212,206,814.50","$1,795,693,482,853.01","$2,063,514,977,365.65","$1,916,933,898,010.99","$1,873,288,205,059.69","$1,476,107,231,310.49","$1,670,647,398,904.90","$1,951,923,942,083.32","$2,191,131,765,684.63","$2,179,412,080,828.59"
Barbados,"$5,288,057,750.00","$5,330,761,500.00","$5,517,340,450.00","$5,629,916,200.00","$5,788,288,000.00","$5,168,344,450.00","$5,275,242,050.00","$6,257,303,500.00","$6,720,733,200.00","$7,165,000,000.00"
Brunei Darussalam,"$12,930,296,852.49","$11,400,266,055.32","$12,128,168,046.78","$13,566,908,401.19","$13,469,235,348.22","$12,005,799,664.27","$14,006,496,614.32","$16,681,536,442.55","$15,095,084,686.17","$15,463,134,387.20"
Bhutan,"$2,187,815,803.37","$2,357,504,760.79","$2,591,358,009.20","$2,583,335,721.86","$2,735,683,570.46","$2,457,604,333.91","$2,768,802,960.11","$2,898,227,743.76","$3,019,253,885.47",
Botswana,"$13,530,748,844.51","$15,082,637,184.05","$16,105,155,856.77","$17,031,943,186.14","$16,725,908,148.55","$14,960,251,610.90","$18,750,182,234.53","$20,321,150,598.07","$19,411,266,967.10","$19,400,774,882.45"
Central African Rep.,"$1,695,825,714.19","$1,825,018,144.66","$2,072,349,972.68","$2,220,979,146.11","$2,221,301,351.44","$2,326,720,900.38","$2,516,498,412.46","$2,382,618,615.02","$2,555,492,085.95","$2,751,544,520.38"
Canada,"$1,556,508,816,217.14","$1,527,994,741,907.43","$1,649,265,644,244.09","$1,725,329,192,783.02","$1,743,725,183,672.52","$1,655,684,730,000.19","$2,022,378,748,423.23","$2,190,411,080,134.32","$2,173,339,670,064.33","$2,241,253,230,970.34"
Central Europe and the Baltics,"$1,297,147,579,274.91","$1,321,565,597,216.69","$1,467,505,238,696.80","$1,658,215,183,813.33","$1,686,042,070,714.23","$1,679,770,251,031.92","$1,927,940,096,544.03","$1,956,274,288,914.43","$2,273,945,434,904.28","$2,455,559,190,577.36"
Switzerland,"$694,118,186,379.63","$687,895,460,902.71","$695,200,834,102.05","$725,568,717,468.00","$721,369,112,726.72","$741,999,406,005.63","$815,309,330,986.72","$828,508,926,958.39","$894,424,821,645.21","$936,564,198,048.52"
Channel Islands,"$10,109,968,831.17","$9,169,278,152.85","$9,170,079,922.78","$10,026,153,281.75","$10,032,440,898.65","$9,439,810,769.23","$11,157,003,025.72","$11,308,300,382.10","$12,507,927,159.73",
Chile,"$242,450,355,830.88","$249,344,863,928.44","$276,154,259,981.10","$295,857,562,991.71","$278,285,058,719.47","$254,042,159,309.31","$315,325,547,162.07","$301,226,575,540.24","$335,518,054,097.64","$330,267,137,371.59"
China,"$11,280,814,787,468.90","$11,456,024,084,962.00","$12,537,559,062,282.90","$14,147,765,772,963.80","$14,560,167,101,283.40","$14,996,414,166,715.10","$18,201,698,719,564.00","$18,316,765,021,690.20","$18,270,356,654,533.20","$18,743,803,170,827.20"
Côte d'Ivoire,"$45,815,005,169.27","$48,407,761,036.82","$52,512,343,996.69","$58,522,477,786.69","$60,382,894,697.36","$63,027,852,805.42","$72,794,636,649.43","$70,922,824,824.01","$79,618,056,323.76","$86,538,413,923.39"
Cameroon,"$32,210,233,020.46","$33,814,337,044.38","$36,098,547,033.17","$39,955,552,189.80","$39,667,757,527.66","$40,773,241,177.05","$45,011,937,346.84","$44,347,206,072.55","$49,279,410,982.83","$51,326,764,684.86"
Dem. Rep. Congo,"$37,917,706,497.18","$37,134,801,555.33","$38,019,264,794.83","$47,568,210,009.82","$51,775,829,877.21","$48,716,961,860.13","$55,328,482,783.54","$65,801,547,755.66","$67,006,756,666.36","$70,749,355,652.12"
Congo,"$12,434,793,867.36","$10,931,328,150.85","$11,834,473,039.36","$14,773,900,288.51","$13,976,637,779.98","$11,468,687,464.00","$14,825,690,210.92","$15,817,030,156.95","$15,321,055,818.33","$15,719,985,776.40"
Colombia,"$293,492,370,193.17","$282,720,100,286.23","$311,866,875,156.88","$334,198,218,098.28","$323,031,701,192.84","$270,348,342,541.47","$318,524,633,225.40","$345,632,492,851.45","$366,291,836,137.92","$418,542,042,920.19"
Comoros,"$966,029,599.80","$1,012,835,492.52","$1,077,439,756.12","$1,188,797,449.96","$1,195,019,531.04","$1,225,039,195.94","$1,299,039,311.76","$1,279,542,248.45","$1,430,523,435.82","$1,546,164,420.32"
